,train_loss,val_loss,train_acc,val_acc,test_loss,test_acc
spatial_model_hmdb51_middle,0.42413880055149394,0.892077624797821,0.8854166666666666,0.706249992052714,1.0917409770190716,0.6640625
spatial_model_hmdb51_first,0.46549633766214055,1.039110541343689,0.8695312490065893,0.6354166666666666,1.6432799870769184,0.5026041666666666
spatial_model_hmdb51_first_middle,0.30430951217810315,0.9381099541982015,0.9148437504967054,0.731250007947286,1.3504803975423176,0.59375
spatial_model_hmdb51_middle_last,0.3985516956696908,0.833720882733663,0.8825520823399226,0.756250003973643,1.269991294791301,0.6223958333333334
spatial_model_hmdb51_last,0.3440270113448302,1.0174262722333272,0.9091145843267441,0.7395833333333334,1.4334232235948245,0.5859375
